service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S1503-AMD-Weekday-55,1,1,1,1,1,0,0,20150610,20150615
S1503-AMD-Weekday-55-0010000,0,0,1,0,0,0,0,20150610,20150615
S1503-AMD-Weekday-55-0111000,0,1,1,1,0,0,0,20150610,20150615
S1503-Satco-Saturday-01,0,0,0,0,0,1,0,20150613,20150620
S1503-Satco-Sunday-01,0,0,0,0,0,0,1,20150614,20150614
S1503-AMD-Weekday-58,1,1,1,1,1,0,0,20150616,20150618
S1503-AMD-Weekday-58-0010000,0,0,1,0,0,0,0,20150616,20150618
S1503-AMD-Weekday-58-0111000,0,1,1,1,0,0,0,20150616,20150618
S1503-AMD-Weekday-57,1,1,1,1,1,0,0,20150619,20150619
S1506-Satco-Sunday-01,0,0,0,0,0,0,1,20150621,20150823
S1506-AMD-Weekday-50,1,1,1,1,1,0,0,20150622,20150622
S1506-AMD-Weekday-51,1,1,1,1,1,0,0,20150623,20150623
S1506-SATCo-Weekday-03,1,1,1,1,1,0,0,20150624,20150828
S1506-Satco-Saturday-01,0,0,0,0,0,1,0,20150627,20150829
HTS04-Hulmes-Weekday-04,1,1,1,1,1,0,0,20150610,20150907
HTS04-Hulmes-Weekday-04-0001100,0,0,0,1,1,0,0,20150610,20150907
HTS04-hulmes-Saturday-01,0,0,0,0,0,1,0,20150613,20150905
UM1415-UMTS-Weekday-03,1,1,1,1,1,0,0,20150610,20150907
UM1415-UMTS-Saturday-07,0,0,0,0,0,1,0,20150613,20150905
UM1415-UMTS-Sunday-08,0,0,0,0,0,0,1,20150614,20150906
N1505-VATCo-Weekday-01,1,1,1,1,1,0,0,20150610,20150904
N1505-VATCo-Weekday-01-0111100,0,1,1,1,1,0,0,20150610,20150904
N1505-VATCo-Weekday-01-1000000,1,0,0,0,0,0,0,20150610,20150904
N1505-VATCo-Weekday-01-0100000,0,1,0,0,0,0,0,20150610,20150904
N1505-VATCo-Weekday-01-0011100,0,0,1,1,1,0,0,20150610,20150904
N1505-VATCo-Weekday-01-0010000,0,0,1,0,0,0,0,20150610,20150904
N1505-VATCo-Weekday-01-0001100,0,0,0,1,1,0,0,20150610,20150904
N1505-VATCo-Saturday-01,0,0,0,0,0,1,0,20150613,20150905
N1505-VATCo-Sunday-01,0,0,0,0,0,0,1,20150614,20150830
N1501-VATCo-Sunday-03,0,0,0,0,0,0,1,20150906,20150906
N1501-VATCo-Sunday-99,0,0,0,0,0,0,1,20150907,20150907
