service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S1506-SATCo-Weekday-03,1,1,1,1,1,0,0,20150819,20150828
S1506-Satco-Saturday-01,0,0,0,0,0,1,0,20150822,20150829
S1506-Satco-Sunday-01,0,0,0,0,0,0,1,20150823,20150823
S1508-Satco-Sunday-01,0,0,0,0,0,0,1,20150830,20150907
S1508-SATCo-Weekday-06,1,1,1,1,1,0,0,20150831,20150904
S1508-SATCo-Weekday-06-1010100,1,0,1,0,1,0,0,20150831,20150904
S1508-SATCo-Weekday-06-0101000,0,1,0,1,0,0,0,20150831,20150904
S1508-SATCo-Weekday-06-1111000,1,1,1,1,0,0,0,20150831,20150904
S1508-Satco-Saturday-01,0,0,0,0,0,1,0,20150905,20150905
HTS04-Hulmes-Weekday-04,1,1,1,1,1,0,0,20150819,20150907
HTS04-Hulmes-Weekday-04-0001100,0,0,0,1,1,0,0,20150819,20150907
HTS04-hulmes-Saturday-01,0,0,0,0,0,1,0,20150822,20150905
UM1415-UMTS-Weekday-03,1,1,1,1,1,0,0,20150819,20150907
UM1415-UMTS-Saturday-07,0,0,0,0,0,1,0,20150822,20150905
UM1415-UMTS-Sunday-08,0,0,0,0,0,0,1,20150823,20150906
N1505-VATCo-Weekday-01,1,1,1,1,1,0,0,20150819,20150904
N1505-VATCo-Weekday-01-0111100,0,1,1,1,1,0,0,20150819,20150904
N1505-VATCo-Weekday-01-1000000,1,0,0,0,0,0,0,20150819,20150904
N1505-VATCo-Weekday-01-0100000,0,1,0,0,0,0,0,20150819,20150904
N1505-VATCo-Weekday-01-0011100,0,0,1,1,1,0,0,20150819,20150904
N1505-VATCo-Weekday-01-0010000,0,0,1,0,0,0,0,20150819,20150904
N1505-VATCo-Weekday-01-0001100,0,0,0,1,1,0,0,20150819,20150904
N1505-VATCo-Saturday-01,0,0,0,0,0,1,0,20150822,20150905
N1505-VATCo-Sunday-01,0,0,0,0,0,0,1,20150823,20150830
N1501-VATCo-Sunday-03,0,0,0,0,0,0,1,20150906,20150906
N1501-VATCo-Sunday-99,0,0,0,0,0,0,1,20150907,20150907
