service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S1508-SATCo-Weekday-06,1,1,1,1,1,0,0,20151209,20151218
S1508-SATCo-Weekday-06-1010100,1,0,1,0,1,0,0,20151209,20151218
S1508-SATCo-Weekday-06-0101000,0,1,0,1,0,0,0,20151209,20151218
S1508-SATCo-Weekday-06-1111000,1,1,1,1,0,0,0,20151209,20151218
S1508-Satco-Saturday-01,0,0,0,0,0,1,0,20151212,20151219
S1508-Satco-Sunday-01,0,0,0,0,0,0,1,20151213,20151213
S1512-Satco-Sunday-01,0,0,0,0,0,0,1,20151220,20160313
S1512-AMD-Weekday-50,1,1,1,1,1,0,0,20151221,20160122
S1512-AMD-Weekday-50-1111000,1,1,1,1,0,0,0,20151221,20160122
S1512-Satco-Saturday-01,0,0,0,0,0,1,0,20151226,20160319
S1512-SATCo-Weekday-01,1,1,1,1,1,0,0,20160125,20160318
S1512-SATCo-Weekday-01-1010100,1,0,1,0,1,0,0,20160125,20160318
S1512-SATCo-Weekday-01-0101000,0,1,0,1,0,0,0,20160125,20160318
S1512-SATCo-Weekday-01-1111000,1,1,1,1,0,0,0,20160125,20160318
HTS04-Hulmes-Weekday-04,1,1,1,1,1,0,0,20151209,20160905
HTS04-Hulmes-Weekday-04-0001100,0,0,0,1,1,0,0,20151209,20160905
HTS04-hulmes-Saturday-01,0,0,0,0,0,1,0,20151212,20160903
UM1516-UMTS-Weekday-12,1,1,1,1,1,0,0,20151209,20160504
UM1516-UMTS-Weekday-12-1110000,1,1,1,0,0,0,0,20151209,20160504
UM1516-UMTS-Weekday-12-0000100,0,0,0,0,1,0,0,20151209,20160504
UM1516-UMTS-Weekday-12-1111000,1,1,1,1,0,0,0,20151209,20160504
UM1516-UMTS-Weekday-12-0001100,0,0,0,1,1,0,0,20151209,20160504
UM1516-UMTS-Saturday-09,0,0,0,0,0,1,0,20151212,20160430
UM1516-UMTS-Sunday-10,0,0,0,0,0,0,1,20151213,20160501
UM1516-UMTS-Weekday-27,1,1,1,1,1,0,0,20151218,20151218
UM1516-UMTS-Saturday-11,0,0,0,0,0,1,0,20151219,20151219
UM1516-UMTS-Sunday-07,0,0,0,0,0,0,1,20151220,20151220
UM1516-UMTS-Weekday-28,1,1,1,1,1,0,0,20151221,20151221
UM1516-UMTS-Weekday-30,1,1,1,1,1,0,0,20151222,20151222
UM1516-UMTS-Weekday-06,1,1,1,1,1,0,0,20151223,20151231
UM1516-UMTS-Saturday-13,0,0,0,0,0,1,0,20151226,20160102
UM1516-UMTS-Sunday-03,0,0,0,0,0,0,1,20151227,20160103
UM1516-UMTS-Weekday-04,1,1,1,1,1,0,0,20160104,20160118
UM1516-UMTS-Weekday-04-0000100,0,0,0,0,1,0,0,20160104,20160118
UM1516-UMTS-Saturday-14,0,0,0,0,0,1,0,20160109,20160116
UM1516-UMTS-Sunday-13,0,0,0,0,0,0,1,20160110,20160117
UM1516-UMTS-Weekday-21,1,1,1,1,1,0,0,20160215,20160418
